Id,Jurisdicci,area.prot,Especie,Fecha,Altitud,Localidad,Ambiente,Estado,Uso,Cantidad,Rastros,y,id_General,origen_SIB,mes,Periodo,yshort,coordX,coordY
110,PNLG,Parque Nacional Los Glaciares,HUEMUL,25/11/2003,0,Ladera del Puesto Moyano,Ladera arbustiva,,,2,Huellas Bosteo,2003,18,Glaciares,11,primavera,3,650915.5999,4499335.325
745,PNLG,Parque Nacional Los Glaciares,HUEMUL,10/01/1996,390,"R¡o Mascarello, ambas margenes, a unos mil metros de su desembocadura en el Lago Viedma.","Matorral, muy denso cerca de la orilla del r¡o;ÿBerberis, chaura, siete camisas. Costa de r¡o y r¡o.",Muy bueno,Reserva Natural EstrictaPresencia de una tropilla de caballos baguales,1,Huellas Bosteo,1996,269,Glaciares,1,verano,96,648867.4848,4503927.532
2589,PNLG,Parque Nacional Los Glaciares,HUEMUL,13/04/2019,257.2,Reserva Natural Estricta Cord¢n del Mascarello. Campana Huemul 2019.,Sobre saliente rocosa matorral y lengas aisladas,Bueno,Investigaci¢n,1,,2019,1701,Glaciares,4,oto¤o,19,649645.2566,4504075.27
746,PNLG,Parque Nacional Los Glaciares,HUEMUL,11/01/1996,840,"Extremo Oeste del lago Viedma, a 1,2 km al Oeste de la desembocadura del R¡o Mascarello.","Ladera con matorral,ÿsiete camisas, Berberis, gram¡neas.",Muy bueno,Reserva Natural Estricta.Presencia de una tropilla de caballos baguales.,1,Huellas Bosteo Echadero,1996,270,Glaciares,1,verano,96,648280.7475,4504684.487
733,PNLG,Parque Nacional Los Glaciares,HUEMUL,23/04/2012,764,"Cord¢n Mascarello, faldeo de exposici¢n Este.",Matorral bajo con bosquetes de lenga,Bueno,Reserva Natuaral Estricta,1,,2012,260,Glaciares,4,oto¤o,12,647801.684,4505470.705
747,PNLG,Parque Nacional Los Glaciares,HUEMUL,11/01/1996,470,"Ladera en el extremo Oeste del Lago Viedma, zona Mascarello, a 700 m de la costa.","Ladera exposici¢n Este con lomadas;ÿmatorral, chaura, siete camisas y manchones de lenga.",Muy bueno,Reserva Natural Estricta.Presencia de una tropilla de caballos baguales,1,Huellas Bosteo,1996,271,Glaciares,1,verano,96,647412.4148,4506772.851
742,PNLG,Parque Nacional Los Glaciares,HUEMUL,15/01/1992,520,"Ladera Sur del R¡o Gris, 600 m al SO de la desembocadura del R¡o en el Lago Viedma.","Terrazones entre la costa del lago y el filo monta¤oso, sector muy rocoso con sectores acantilados cerca de la costa. Vegetaci¢n mayormente esteparia y arbustiva, le¤a dura, mata guanaco, neneo, gram¡neas e isletas de lenga dispersas.",Muy bueno,Intangible. Turismo lacustre alÿfrente del Glaciar Viedma.,2,,1992,266,Glaciares,1,verano,92,646464.5184,4509400.495
779,PNLG,Parque Nacional Los Glaciares,HUEMUL,16/01/1992,400,Ladera Sur del R¡o y Laguna Gris a 200 m del R¡o.,"Planicie tipo terraz¢n, ambiente ecotonal con bosque abierto de lenga",Muy bueno,Reserva Natural Estricta,2,,1992,302,Glaciares,1,verano,92,645908.5429,4509504.421
2369,PNLG,Parque Nacional Los Glaciares,HUEMUL,29/12/2019,1009,Paso Huemul,Alta Monta¤a,Bueno,Zona de uso publico,2,,2019,1482,Glaciares,12,primavera,19,643816.6382,4516633.98
2054,PNLG,Parque Nacional Los Glaciares,HUEMUL,13/01/2019,702,Paso Huemul (cerca cuerdas fijas),Bosque abierto,Bueno,Zona de uso publico,1,,2019,1167,Glaciares,1,verano,19,644956.8677,4517052.114
2327,PNLG,Parque Nacional Los Glaciares,HUEMUL,11/11/2019,261,Bah¡a T‚mpanos 300/500 mts de la costa.,Ecotono,Bueno,Zona de uso publico,1,,2019,1440,Glaciares,11,primavera,19,646383.8116,4517099.68
2559,PNLG,Parque Nacional Los Glaciares,HUEMUL,20/05/2020,420,B. T‚mpano,Transici¢n estepa y bosque,Bueno,ZUPE,2,,2020,1672,Glaciares,5,oto¤o,20,645345.6756,4517173.038
2324,PNLG,Parque Nacional Los Glaciares,HUEMUL,8/11/2019,0,Bajando Paso Huemul,Ecotono,Bueno,Zona de uso publico,1,,2019,1437,Glaciares,11,primavera,19,645231.6812,4517192.76
529,PNLG,Parque Nacional Los Glaciares,HUEMUL,21/10/2010,270,"Costa del Lago Viedma, Bah¡a T‚mpanos. Morena glaciaria con vegetaci¢n arbustiva. Pendiente leve.","Pastizal, arbustos dispersos, calafate, paramela, neneo, Pernettya, gram¡neas, etc.;ÿlengas jovenes aisladas. Pendiente baja, sector costero.",Bueno,"Turismo, sendero al cerro Huemul, excursi¢n lacustre. Presencia de ganado que se dispersa hacia el Sur desde la zona del R¡o T£nel.",2,,2010,215,Glaciares,10,primavera,10,645924.5414,4517217.662
1606,PNLG,Parque Nacional Los Glaciares,HUEMUL,25/03/2016,500,"Ladera noroeste de Bah¡a T‚mpanos, a unos 550 m de la costa del Lago Viedma. Descendi¢ hasta cerca de los 200 m de la costa.","Ladera con pastizal (coir¢n, neneo) y bosques de lenga. Sector rocoso con pendiente moderada. Exposici¢n Este-NE",Bueno a muy bueno,"Turismo, sendero. Ingreso espor dico de ganado",1,,2016,830,Glaciares,3,verano,16,645216.2217,4517319.988
2498,PNLG,Parque Nacional Los Glaciares,HUEMUL,21/02/2020,306,"Vuelta al Huemul, Bah¡a T‚mpanos",Bosque abierto de lengas y ¤ires,Bueno,ZUPE,2,,2020,1611,Glaciares,2,verano,20,645733.2076,4517354.041
2503,PNLG,Parque Nacional Los Glaciares,HUEMUL,24/02/2020,306,Bah¡a T‚mpanos,Bosque abierto lenga y ¤ire,Bueno,ZUPE,2,,2020,1616,Glaciares,2,verano,20,645733.2076,4517354.041
1915,PNLG,Parque Nacional Los Glaciares,HUEMUL,22/12/2017,380,"Ladera noroeste de Bah¡a T‚mpanos, 2 km al Este-NE del Paso Huemul","Ladera con pastizal y neneo, chaura, siete camisas, notro, y ejemplares aislados de lenga. Roquedales aterrazados. Pendiente moderada. Suelo rocoso",Bueno a muy bueno,"Turismo, sendero. Ingreso de ganado",2,,2017,1097,Glaciares,12,primavera,17,645478.3994,4517420.911
2079,PNLG,Parque Nacional Los Glaciares,HUEMUL,29/01/2019,297,Bah¡a T‚mpanos,Estepa - pastizal,Bueno,Zona de uso publico,1,,2019,1192,Glaciares,1,verano,19,645946.9972,4517433.986
278,PNLG,Parque Nacional Los Glaciares,HUEMUL,21/02/2009,275,Pen¡nsula del Ventisquero,Morrena con pastizal de coiron y bosquecitos de lenga; nieve en parches,regular por pastoreo,Tur¡stico y presencia de vacunos y caballos,1,,2009,114,Glaciares,2,verano,9,647573.4103,4517428.073
1788,PNLG,Parque Nacional Los Glaciares,HUEMUL,27/02/2017,260,"Margen noreste del arroyo de las Lauchas, 650 m de la desembocadura, Bah¡a Cabo de Hornos","ladera con pastizal de gram¡neas y arbustivas dispersas, calafate. En los alrededores, bosque de lenga",Bueno,"Turismo, sendero. Presencia de ganado vacuno y equinos",1,,2017,989,Glaciares,2,verano,17,647397.3639,4517458.417
2506,PNLG,Parque Nacional Los Glaciares,HUEMUL,25/02/2020,327,Bah¡a T‚mpanos,Estepa,Bueno,ZUPE,1,,2020,1619,Glaciares,2,verano,20,645744.6959,4517512.812
2241,PNLG,Parque Nacional Los Glaciares,HUEMUL,11/04/2019,281,A 1 km de Bah¡a Tempanos,,Bueno,Zona de uso publico,2,,2019,1354,Glaciares,4,oto¤o,19,644926.2068,4517562.419
1616,PNLG,Parque Nacional Los Glaciares,HUEMUL,2/04/2016,330,Ladera norte de Bah¡a T‚mpanos,Ladera con arbustivas altas y bosque de lenga. Pendiente moderada,Muy bueno,"Turismo, sendero. Ingresi¢n espor dica de ganado",1,,2016,840,Glaciares,4,oto¤o,16,645783.003,4517562.961
1711,PNLG,Parque Nacional Los Glaciares,HUEMUL,26/12/2016,750,"Ladera norte del Glaciar Viedma, 2 km al oeste del Paso Huemul","Ladera con pastizal de gram¡neas y arbustivas bajas, muy pedregosa, con piedras grandes. Pendiente moderada",Muy bueno,"Turismo, sendero",1,,2016,931,Glaciares,12,primavera,16,642242.3955,4517823.244
1301,PNLG,Parque Nacional Los Glaciares,HUEMUL,4/12/2014,310,"Ladera sureste del Cerro Huemul, 800 a 900 metros al norte de Bah¡a T‚mpanos, Lago Viedma","Ladera de pendiente moderada con bosque de lenga y matorral. Le¤a dura. Exposici¢n Este, suelo pedregoso",Bueno a muy bueno,"Turismo, sendero. Presencia no autorizada de ganado vacuno y equino.ÿ",1,Huellas Bosteo Sendero.,2014,546,Glaciares,12,primavera,14,646132.6015,4517922.94
2028,PNLG,Parque Nacional Los Glaciares,HUEMUL,2/01/2019,335,Cerro Huemul,Bosque,Bueno,Zona de uso publico,2,,2019,1141,Glaciares,1,verano,19,646086.1704,4517948.657
1524,PNLG,Parque Nacional Los Glaciares,HUEMUL,9/06/2016,490,Ladera NO de Bah¡a T‚mpanos,"Ladera de pendiente moderada. Matorral, notro, siete camisas, calafate, paramela. Manchones de bosque abierto, pastizal.",Muy bueno,"Turismo bajo, sendero",1,Huellas Bosteo Ramoneo,2016,748,Glaciares,6,oto¤o,16,645565.892,4517983.692
1558,PNLG,Parque Nacional Los Glaciares,HUEMUL,1/02/2016,265,"Ladera norte-NO de la Bah¡a Cabo de Hornos, Lago Viedma, a unos 380 m de la costa","Ladera con pastizal y bosque de lenga, ¤ires, costa de arroyo. Pendiente leve a moderada",Bueno a muy bueno,"Turismo, sendero. Ingreso de ganado, vacuno y equino",1,,2016,782,Glaciares,2,verano,16,648239.468,4517931.763
2340,PNLG,Parque Nacional Los Glaciares,HUEMUL,27/11/2019,744,Entre Paso Huemul y Paso del Viento.,Monta¤a,Bueno,Zona de uso publico,1,,2019,1453,Glaciares,11,primavera,19,641921.015,4518147.53
2069,PNLG,Parque Nacional Los Glaciares,HUEMUL,19/01/2019,911,"Paso Huemul, bajando",Bosque de lengas,Bueno,Zona de uso publico,1,,2019,1182,Glaciares,1,verano,19,644821.3187,4518116.964
1158,PNLG,Parque Nacional Los Glaciares,HUEMUL,17/12/2013,800,"Ladera SO del Cerro Huemul, sobre la margen del R¡o Paula","Ladera de pendiente moderada, suelo pedregoso, murtilla; manchones de bosqueÿ",Muy bueno,"Turismo, sendero",1,,2013,457,Glaciares,12,primavera,13,640252.8243,4518985.997
1320,PNLG,Parque Nacional Los Glaciares,HUEMUL,4/01/2015,745,"Ladera sudoeste del Cerro Huemul, 600 metros al oeste del R¡o Paula","Ladera de pendiente moderada. Poca vegetaci¢n, cahura, murtilla",Bueno a muy bueno,"Turismo, sendero",1,,2015,564,Glaciares,1,verano,15,639578.7935,4519107.831
1899,PNLG,Parque Nacional Los Glaciares,HUEMUL,17/11/2017,940,"Ladera noreste del Glaciar Viedma, 1,6 km al Este-NE del Morro del Refugio",Ladera con pastizal y arbustivas bajas. Morros con bosquetes de lenga achaparrada. Pendiente leve.,Muy bueno,"Turismo, sendero, campamento y refugio",1,,2017,1083,Glaciares,11,primavera,17,637439.537,4523528.063
1840,PNLG,Parque Nacional Los Glaciares,HUEMUL,13/04/2017,960,"Margen norte del Glaciar Viedma, 400 m al norte de Laguna del Refugio, Paso del Viento","Ladera en alta monta¤a, zona periglacial. Suelo rocoso-pedregoso. Pendiente moderada, exposici¢n oeste-SO.",Muy bueno,"Turismo, sendero, refugio",1,,2017,1041,Glaciares,4,oto¤o,17,637209.202,4523775.226
2829,PNLG,Parque Nacional Los Glaciares,HUEMUL,3/06/2018,272,"Margen Norte del R¡o T£nel, a 1,780 km  de la desembocadura en Lago Viedma. Tirolesa Bah¡a T£nel.","Fondo de valle, costa de r¡o. Pastizal de coir¢n, neneo, y arbustivas bajas. Pendiente leve exposici¢n Este",Regular a malo,Ganader¡a,1,,2018,1912,Glaciares,6,oto¤o,18,653627.5031,4524179.653
2273,PNLG,Parque Nacional Los Glaciares,HUEMUL,21/08/2019,253,Faldeo r¡o T£nel cerca casco estancia.,estepa - bosque,Bueno,PPOP,2,,2019,1386,Glaciares,8,invierno,19,654279.6275,4525092.459
2163,PNLG,Parque Nacional Los Glaciares,HUEMUL,6/03/2019,582,R¡o T£nel,Bosque,Bueno,,1,,2019,1276,Glaciares,3,verano,19,650082.544,4525549.616
2272,PNLG,Parque Nacional Los Glaciares,HUEMUL,18/08/2019,257,Costa Lago Viedma,Estepa,Bueno,PPOP,2,,2019,1385,Glaciares,8,invierno,19,654300.4575,4526088.67
2721,PNLG,Parque Nacional Los Glaciares,HUEMUL,5/09/2020,253,Pto. Bahia T£nel,estepa,Bueno,ZUPE,3,,2020,1804,Glaciares,9,invierno,20,654463.6789,4526392.227
2836,PNLG,Parque Nacional Los Glaciares,HUEMUL,12/09/2021,253,"Bahia T£nel, Lago Viedma","costa de lago, orilla",medio,recreativo y pastoreo de ganado PPOP A. Rojo,2,,2021,1919,Glaciares,9,invierno,21,654506.2271,4526433.301
2735,PNLG,Parque Nacional Los Glaciares,HUEMUL,10/11/2020,430,Bahia T£nel,costa del lago,Bueno,ZUPE,2,,2020,1818,Glaciares,11,primavera,20,654506.4781,4526442.194
2279,PNLG,Parque Nacional Los Glaciares,HUEMUL,7/09/2019,257,bah¡a T£nel,estepa,Bueno,Zona de uso publico,5,,2019,1392,Glaciares,9,invierno,19,654562.9972,4526515.136
2280,PNLG,Parque Nacional Los Glaciares,HUEMUL,10/09/2019,250,Bah¡a T£nel,estepa,Bueno,Zona de uso publico,2,,2019,1393,Glaciares,9,invierno,19,654562.9972,4526515.136
150,PNLG,Parque Nacional Los Glaciares,HUEMUL,1/05/1996,0,Faldeo que da a la costa sur de Laguna Toro o T£nel,,,,3,,1996,38,Glaciares,5,oto¤o,96,641730.77,4526949.209
2722,PNLG,Parque Nacional Los Glaciares,HUEMUL,7/09/2020,253,Pto. Bahia T£nel,"costa, mallin, bosque abierto",Bueno,ZUPE,3,,2020,1805,Glaciares,9,invierno,20,654614.6769,4526930.863
333,PNLG,Parque Nacional Los Glaciares,HUEMUL,19/04/2008,1008,"Loma del Pliegue Tumbado, saliendo del £ltimo bosque de lengas.",Ladera con pastizal de altura y bosque de lenga. Suelo nevado.,,Tur¡stico,1,,2008,162,Glaciares,4,oto¤o,8,649437.8747,4527383.889
2483,PNLG,Parque Nacional Los Glaciares,HUEMUL,5/02/2020,668,200 mts. Campamento Toro,Bosque de lengas,Bueno,ZUPE,2,,2020,1596,Glaciares,2,verano,20,641942.6483,4527840.295
2520,PNLG,Parque Nacional Los Glaciares,HUEMUL,1/03/2020,668,Laguna Toro,"Pastizal, ¤ires ,Calafates",Bueno,ZUPE,1,,2020,1633,Glaciares,3,verano,20,641942.6483,4527840.295
2525,SANTA CRUZ,,HUEMUL,2/03/2020,668,"Laguna Toro, en el campamento",,Bueno,ZUPE,1,,2020,1638,Glaciares,3,verano,20,714508.6467,4525477.704
2544,SANTA CRUZ,,HUEMUL,9/03/2020,668,5 mts al lado de Laguna Toro,Bosque abierto,Bueno,ZUPE,1,,2020,1657,Glaciares,3,verano,20,714508.6467,4525477.704
2543,SANTA CRUZ,,HUEMUL,9/03/2020,668,Valle del Toro,Bosque abierto,Bueno,ZUPE,1,,2020,1656,Glaciares,3,verano,20,714508.6467,4525477.704
2329,PNLG,Parque Nacional Los Glaciares,HUEMUL,13/11/2019,669,Campamento laguna Toro,Bosque,Bueno,Zona de uso publico,1,,2019,1442,Glaciares,11,primavera,19,642213.4742,4527866.639
2166,PNLG,Parque Nacional Los Glaciares,HUEMUL,7/03/2019,667,Campamento Laguna Toro.,Bosque,Bueno,Zona de uso publico,1,,2019,1279,Glaciares,3,verano,19,642249.0299,4527893.525
1633,PNLG,Parque Nacional Los Glaciares,HUEMUL,18/04/2016,670,Ladera norte (sector medio) de Laguna Toro o T£nel,"Comienzo de ladera, sector costero de laguna con vegetaci¢n baja de alta monta¤a, morenas. A 1,5 km del borde actual del Glaciar R¡o T£nel Inferior",Bueno a muy bueno,"Turismo, sendero, campamento",2,,2016,857,Glaciares,4,oto¤o,16,641443.947,4527959.988
326,PNLG,Parque Nacional Los Glaciares,HUEMUL,22/03/2008,430,"A 50 metros de la cabecera de Laguna Toro, por sendero Loma del Pliegue Tumbado.","Ecotono, estepa. Bosque abierto de ¤ire, coir¢n, neneo, paramela. Pendiente pronunciada.",,"Tur¡stico, sendero.",1,,2008,156,Glaciares,3,verano,8,640765.0513,4528133.213
1293,PNLG,Parque Nacional Los Glaciares,HUEMUL,15/11/2014,630,"Margen Norte del R¡o T£nel,a 1,5 km al Este de laguna Toroÿ","Fondo de valle, mall¡n, pastizal. Pendiente moderada, suelo pedregoso. Exposici¢n SE.",Bueno a muy bueno,"Tursimo, sendero, campamento. Presencia de vacunos.",1,,2014,538,Glaciares,11,primavera,14,643296.6429,4528104.261
1679,PNLG,Parque Nacional Los Glaciares,HUEMUL,3/11/2016,840,"Ladera norte del R¡ðo T£nel, 5,7 km al Este de Laguna Toro","Ladera con bosque abierto de lenga y ¤ire. Pendiente moderada, suelo pedregoso. Exposici¢n sur.",Bueno a muy bueno,"Turismo, sendero. Ganader¡ða",1,,2016,899,Glaciares,11,primavera,16,647568.7981,4528008.599
1338,PNLG,Parque Nacional Los Glaciares,HUEMUL,20/01/2015,1040,Extremo Este de la Loma del Pliegue Tumbado,"Ladera de pendiente leve a moderada, exposici¢n Este. Mallinoso, pastizal de gram¡neas",Bueno a muy bueno,"Turismo, sendero. Presencia de ganado vacuno",1,,2015,581,Glaciares,1,verano,15,649964.4952,4528210.502
301,PNLG,Parque Nacional Los Glaciares,HUEMUL,13/11/2007,0,"Sendero a Loma del Pliegue Tumbado, antes de Pampa de las Carretas","Bosque de lenga, junto a un ba¤ado",,Tur¡stico,1,,2007,132,Glaciares,11,primavera,7,652773.1083,4528155.12
1873,PNLG,Parque Nacional Los Glaciares,HUEMUL,3/10/2017,1100,Extremo Este de la Loma del Pliegue Tumbado,"Ladera con pastizal bajo y bosque de lenga, pedreros. Pendiente leve a moderada",Bueno,"Turismo, sendero",1,,2017,1063,Glaciares,10,primavera,17,649813.9285,4528414.864
335,PNLG,Parque Nacional Los Glaciares,HUEMUL,1/12/2008,1071,"Loma del Pliegue Tumbado, por sendero, antes del mirador","Pedrero cerca del filo, murtillar. Ladera de pendiente moderada, exposici¢n Norte",,"Tur¡stico, sendero y mirador.",1,,2008,164,Glaciares,12,primavera,8,648994.5658,4528466.14
1895,PNLG,Parque Nacional Los Glaciares,HUEMUL,13/11/2017,1090,Extremo Este de la Loma del Pliegue Tumbado,"Ladera con vegetaci¢n de alta monta¤a, l¡mite superior del bosque de lenga, suelo pedregoso. Pendiente leve a moderada.",Bueno,"Turismo, sendero, mirador. Presencia de ganado vacuno",1,,2017,1079,Glaciares,11,primavera,17,649790.7146,4528495.595
1635,PNLG,Parque Nacional Los Glaciares,HUEMUL,23/04/2016,965,Ladera Este de la Loma del Pliegue Tumbado,"Ladera con pastizal y bosque abierto de lenga, mallines. Pendiente leve","Bueno, quemados antiguos de lenga, pastoreo","Turismo, sendero, ganaderia (vacunos, equinos)",1,,2016,859,Glaciares,4,oto¤o,16,650587.8098,4528611.681
439,PNLG,Parque Nacional Los Glaciares,HUEMUL,6/01/2009,1000,"Loma del Pliegue Tumbado, por el sendero en direcci¢n al mirador, despu‚s del bosque.",Pradera y bosque de lenga. Pendiente moderada.,,"Turismo, sendero.",1,,2009,189,Glaciares,1,verano,9,649196.8033,4528797.704
1656,PNLG,Parque Nacional Los Glaciares,HUEMUL,19/09/2016,870,Extremo Este de la Loma del Pliegue Tumbado,Ladera con bosque de lenga. Pendiente leve. Suelo pedregoso,Bueno,Turismo. Presencia de ganado,1,,2016,876,Glaciares,9,invierno,16,651543.3741,4528756.645
179,PNLG,Parque Nacional Los Glaciares,HUEMUL,1/12/2004,0,Loma del Pliegue Tumbado; 1200 msnm,Pedrero cerca del l¡mite del bosque; murtilla,,Tur¡stico,1,,2004,56,Glaciares,12,primavera,4,649286.8483,4529009.952
613,PNLG,Parque Nacional Los Glaciares,HUEMUL,2/12/2010,1050,"Sendero a Loma del Pliegue Tumbado, 400 m antes de la bifurcaci¢n a Laguna Toro.","Bosque de lenga, pendiente moderada.",,"Ganader¡a, turismo",1,,2010,227,Glaciares,12,primavera,10,649918.5973,4529558.934
204,PNLG,Parque Nacional Los Glaciares,HUEMUL,4/01/2005,1200,Loma del Pliegue Tumbado.,Pedrero,,"Tur¡stico, ganader¡a",1,,2005,75,Glaciares,1,verano,5,648970.5396,4529612.605
1592,PNLG,Parque Nacional Los Glaciares,HUEMUL,4/03/2016,1245,Tercio Este del filo de la Loma del Pliegue Tumbado,"Alta monta¤a, suelo arenoso con un manto herb ceo bajo y amplios sectores desnudos y pedregosos",Muy bueno,"Turismo, sendero",1,,2016,816,Glaciares,3,verano,16,648727.6919,4529872.838
320,PNLG,Parque Nacional Los Glaciares,HUEMUL,17/02/2008,1236,Loma del Pliegue Tumbado.,Borde de bosque de lenga y pastizal. Indica el lugar como: saliendo del £ltimo bosque de lengas.,,Tur¡stico,1,,2008,151,Glaciares,2,verano,8,648751.2839,4529912.246
