Id,Jurisdicci,area prot,Especie,Fecha,Laterror,Longerror,Latform,Longform,Latitud,Longitud,Altitud,Localidad,Ambiente,Estado,Uso,Cantidad,Rastros,y,id_General,origen_SIB,mes ,Periodo
1225,PNLG,Parque Nacional Los Glaciares,HUEMUL,22/03/2014,-4970941,-7306107,-49.70941,-73.06107,-49.70941,-73.06107,590,"Ladera Sur del R¡o Moyano, 1,6 km al Oeste de la desembocadura en el Seno Moyano","Ladera con pendiente pronunciada. Bosque de lenga abierto y matorral de arbustivas, le¤a dura y renovales de lenga. Sectores rocosos, exposici¢n Norte.",Muy bueno,"Turismo escaso, senderoÿ",1,,2014,510,Glaciares,3,verano
1521,PNLG,Parque Nacional Los Glaciares,HUEMUL,26/01/2016,-4970928,-731,-49.70928,-73.1,-49.70928,-73.1,385,Ladera sur de Laguna Verde y comienzo de arroyo Moyano,"Ladera con bosque de lenga de gran desarrollo, dosel cerrado. Lengas viejas ca¡das y algunas de las vivas con roturas por vientos. Aspecto saludable del bosque con buenos semilleros. Arbustivas como maitencillo, siete camisas, notro, chaura, calafate y",Muy bueno,"Turismo muy escaso, el sendero pasa 1 km ladera arriba del sector recorrido",0,"Bosteo Ramoneo, senda de huemul",2016,745,Glaciares,1,verano
732,PNLG,Parque Nacional Los Glaciares,HUEMUL,21/04/2012,-4970913,-7309999,-49.70913,-73.09999,-49.70913,-73.09999,389,"ÿLaguna Verde, Oeste Seno Moyano.",ÿMorena glaciaria con suelo pedregoso y manchones de bosque de lenga.,,,3,,2012,259,Glaciares,4,oto¤o
1221,PNLG,Parque Nacional Los Glaciares,HUEMUL,20/03/2014,-4970568,-7309573,-49.70568,-73.09573,-49.70568,-73.09573,370,Morena frontal de Laguna Moyano,"Morena, suelo pedregoso la ladera que mira a la laguna y bosque de lenga maduro, bajo y abierto del lado Este de la morena, con exposici¢n mayormente NE; con pastizal, herb ceas y arbustivas, romerillo, escalonia, le¤a dura, notro, cacho de cabra. Lag",Muy bueno,"Ninguno, sin ganado desde hace unos 30 a¤os",3,"Huellas Bosteo Ramoneo, marca en vegetaci¢n",2014,506,Glaciares,3,verano
1522,PNLG,Parque Nacional Los Glaciares,HUEMUL,16/03/2016,-4970522,-7308969,-49.70522,-73.08969,-49.70522,-73.08969,360,"Ladera sur del arroyo Moyano, 700 m al Este de Laguna Verde","Ladera con bosque de lenga sobre el borde de una morena de laguna y glaciar. Bosque de lenga de gran desarrollo, dosel cerrado. Lengas viejas ca¡das y algunas de las vivas con roturas por vientos. Aspecto saludable del bosque con buenos semilleros. Arbu",Muy bueno,Turismo escaso por senda que pasa a 1 km ladera arriba del sector recorrido,0,Huellas Bosteo,2016,746,Glaciares,3,verano
1520,PNLG,Parque Nacional Los Glaciares,HUEMUL,25/01/2016,-4970503,-7309075,-49.70503,-73.09075,-49.70503,-73.09075,380,"Ladera sur del arroyo Moyano, 600 m al Este de la naciente en la Laguna Verde","Ladera con bosque de lenga sobre el borde de una morena de laguna y glaciar. Bosque de lenga de gran desarrollo, dosel cerrado. Lengas viejas ca¡das y algunas de las vivas con roturas por vientos. Aspecto saludable del bosque con buenos semilleros. Arbu",Muy bueno,Turismo escaso; el sendero pasa 1 km m s arriba del sector de ladera recorrido,0,Bosteo,2016,744,Glaciares,1,verano
1641,PNLG,Parque Nacional Los Glaciares,HUEMUL,9/04/2016,-4970498,-7309256,-49.70498,-73.09256,-49.70498,-73.09256,373,"Ladera oriental de la morena frontal de Laguna Verde, fondo del Seno Moyano","Bosque de lenga sobre morena, con herb ceas y arbustivas, notro, chaura. Pendiente moderada.",Muy bueno,En el lugar ninguno. Sendero de turismo a m s de 1 km ladera arriba,1,Huellas Bosteo,2016,865,Glaciares,4,oto¤o
1642,PNLG,Parque Nacional Los Glaciares,HUEMUL,9/04/2016,-4970438,-7309612,-49.70438,-73.09612,-49.70438,-73.09612,370,"Sector superior de la morena terminal de Laguna Verde, fondo del Seno Moyano",Morena con algunas herb ceas dispersas pero mayormente con suelo pedregoso desnudo.,Muy bueno,En el sector ninguno. Sendero para turismo a casi 2 km ladera arriba,2,,2016,866,Glaciares,4,oto¤o
735,PNLG,Parque Nacional Los Glaciares,HUEMUL,14/12/2011,-4970354,-7302434,-49.70354,-73.02434,-49.70354,-73.02434,370,Ladera Sur del Seno Moyano,Ladera con suelo rocoso y bosque bajo.ÿCauce de arroyo.ÿPendiente moderada; exposici¢n N-NO.,Muy bueno,"Tursimo, sendero",0,"Huellas Sendero, ramoneo, echadero",2011,262,Glaciares,12,primavera
1644,PNLG,Parque Nacional Los Glaciares,HUEMUL,25/01/2016,-4970161,-7307266,-49.70161,-73.07266,-49.70161,-73.07266,300,"Valle del arroyo Moyano, 2,5 a 3 km de la desembocadura en el Seno Moyano","Fondo de valle, Herb ceas y manchones de arbustos formando islas en el valle. Pendiente leve",Muy bueno,"En el sector ninguno, sendero de turismo a unos 2 km ladera arriba",0,Huellas,2016,868,Glaciares,1,verano
1174,PNLG,Parque Nacional Los Glaciares,HUEMUL,25/02/2014,-4969765,-7301863,-49.69765,-73.01863,-49.69765,-73.01863,380,"Ladera SE del Seno Moyano, 1,5 km antes del fondo del Seno.","Ladera de pendiente moderada con ¤ire y matorral, chaura, siete camisas, neneo. Rocas y roquedales grandes, ca¤adones con mucha vegetaci¢n",Bueno,"Turismo, sendero",2,,2014,467,Glaciares,2,verano
737,PNLG,Parque Nacional Los Glaciares,HUEMUL,27/04/2012,-4969615,-7300515,-49.69615,-73.00515,-49.69615,-73.00515,460,"Extremo Oeste del Seno Moyano, ladera Sur.","Ladera rocosa con bosque de lenga y matorral de siete camisas, notro, maiten. Pendiente moderada. Exposici¢n O-NO.",Muy bueno,,0,"Huellas Echadero, ramoneo, sendero",2012,264,Glaciares,4,oto¤o
1734,PNLG,Parque Nacional Los Glaciares,HUEMUL,29/05/2017,-4969108,-7299172,-49.69108,-72.99172,-49.69108,-72.99172,490,"Ladera sur del Canal Moyano, 520 m al sur de Laguna Aserradero",Ladera con arbustal bajo y pastizal. Pendiente leve a moderada. Exposici¢n norte,Muy bueno,"Turismo escaso, sendero",0,Bosteo,2017,935,Glaciares,5,oto¤o
917,PNLG,Parque Nacional Los Glaciares,HUEMUL,16/02/2013,-4968488,-7299045,-49.68488,-72.99045,-49.68488,-72.99045,350,"Ladera Este de la Laguna del Aserradero, al Sur del Canal Moyano.","Ladera de pendiente leve, exposici¢n NO, con matorral de chapel, siete camisas, calafate, neneo, murtilla, orqu¡deas, y lengas dispersas. Suelo rocosoÿ",Bueno,Turismo,0,Huellas Ramoneo y marca en vegetaci¢n,2013,378,Glaciares,2,verano
1140,PNLG,Parque Nacional Los Glaciares,HUEMUL,4/11/2013,-4968166,-7298444,-49.68166,-72.98444,-49.68166,-72.98444,483,Entre el Arroyo de Los Gatos y la Laguna del Aserradero,,Bueno,Ocasionalmente trekking,1,,2013,451,Glaciares,11,primavera
1733,PNLG,Parque Nacional Los Glaciares,HUEMUL,29/05/2017,-4968055,-729988,-49.68055,-72.9988,-49.68055,-72.9988,370,"Ladera sur del Canal Moyano, 330 m al NO de Laguna Aserradero",Ladera con arbustal bajo y pastizal. Bosquete de Nothofagus,Muy bueno,"Turismo escaso, sendero unos metros ladera arriba",0,Bosteo,2017,934,Glaciares,5,oto¤o
916,PNLG,Parque Nacional Los Glaciares,HUEMUL,19/04/2013,-4967934,-7301053,-49.67934,-73.01053,-49.67934,-73.01053,400,"Ladera Sur del Seno Moyano, 1 km al Oeste de la Laguna del Aserradero","Ladera de pendiente pronunciada, exposici¢n Norte. Suelo rocoso con matorral, mait‚n, notro, coironales, chapel, siete camisas, Valeriana.",Bueno,Turismo escaso.,1,,2013,377,Glaciares,4,oto¤o
1429,PNLG,Parque Nacional Los Glaciares,HUEMUL,27/12/2015,-4966634,-7288422,-49.66634,-72.88422,-49.66634,-72.88422,260,"Costa sur del Canal Viedma, 70 m al oeste de la desembocadura del arroyo de la Laguna Azul","Costa de lago, pastizal",Bueno,"Turismo, hoster¡a, muelle",0,Cad ver (Sin determinar) Parte de cr neo con astas,2015,666,Glaciares,12,primavera
1731,PNLG,Parque Nacional Los Glaciares,HUEMUL,25/04/2017,-4964941,-7290777,-49.64941,-72.90777,-49.64941,-72.90777,330,"Ladera norte del Canal Moyano, a 1,3 km del extremo Este del canal","Ladera con matorral de notro, maitencillo, siete camisas, chaura, y bosque de lenga. Suelo pedregoso y roquedales dispersos. Pendiente pronunciada. Exposici¢n mayormente Este.",Muy bueno,RNE. Presencia de algunos caballos,0,Cad ver (Depredador silvestre),2017,933,Glaciares,4,oto¤o
689,PNLG,Parque Nacional Los Glaciares,HUEMUL,15/11/2010,-4964822,-7291014,-49.64822,-72.91014,-49.64822,-72.91014,460,Ladera en extremo NE del Seno Moyano,"Ladera de pendiente moderada, en un amplio sector arbustivo con afloramientos rocosos y rodeado de bosque de lenga. Exposici¢n E-SE",Muy bueno,Reserva Natural Estricta. Presencia de algunos caballos baguales.,0,Bosteo Ramoneo,2010,246,Glaciares,11,primavera
622,PNLG,Parque Nacional Los Glaciares,HUEMUL,15/08/2010,-4964796,-7288786,-49.64796,-72.88786,-49.64796,-72.88786,250,"Costa Oeste del Lago Viedma, a metros de la naciente delÿCanal Moyano, cercan¡as del Puesto",,,Reserva Natural Estricta. Presencia de lagunos caballos baguales.,2,,2010,234,Glaciares,8,invierno
769,PNLG,Parque Nacional Los Glaciares,HUEMUL,12/01/1997,-4964685,-7291427,-49.64685,-72.91427,-49.64685,-72.91427,650,"Ladera Oeste del Lago Viedma, zona Moyano, a 700 metros al Norte del Canal Moyano",Matorral con roquedales. Bosque de lenga,Muy bueno,Reserva Natural Estricta.Permanencia de una tropilla de caballos baguales en zonas bajas.,2,Huellas Bosteo,1997,293,Glaciares,1,verano
112,PNLG,Parque Nacional Los Glaciares,HUEMUL,29/11/2003,-4964678,-7289253,-49.64678,-72.89253,-49.64678,-72.89253,0,"Sector Puesto Moyano, loma sobre sector llano a 2 km del Puesto","Llano con lomos bajos, y arbustal",,,0,"Bosteo Sendero, ramoneo",2003,20,Glaciares,11,primavera
111,PNLG,Parque Nacional Los Glaciares,HUEMUL,29/11/2003,-4964478,-7290881,-49.64478,-72.90881,-49.64478,-72.90881,0,Ladera del Puesto Moyano,Arbustal bajo,,,1,"Huellas Bosteo Pelos, sendero",2003,19,Glaciares,11,primavera
109,PNLG,Parque Nacional Los Glaciares,HUEMUL,25/11/2003,-4964463,-7290302,-49.64463,-72.90302,-49.64463,-72.90302,320,Pedemonte sector Puesto Moyano,"Llano de pedemonte, pradera con notro, le¤adura y calafate",,,0,Marca en notro,2003,17,Glaciares,11,primavera
108,PNLG,Parque Nacional Los Glaciares,HUEMUL,26/11/2003,-4964229,-7291516,-49.64229,-72.91516,-49.64229,-72.91516,0,Ladera del Puesto Moyano,"Bosque de lenga abierto, con arbustos, le¤a dura y notro",,Equinos,1,,2003,16,Glaciares,11,primavera
107,PNLG,Parque Nacional Los Glaciares,HUEMUL,27/11/2003,-4964162,-7292027,-49.64162,-72.92027,-49.64162,-72.92027,0,"Ladera del Puesto Moyano, 900 m s.n.m.","Pendiente pronunciada, arbustal bajo abierto con neneo y lengas aisladas",Quemado viejo,,2,,2003,15,Glaciares,11,primavera
919,PNLG,Parque Nacional Los Glaciares,HUEMUL,30/04/2013,-4964111,-7291416,-49.64111,-72.91416,-49.64111,-72.91416,600,"Cerro Mascarello, faldeo de exposici¢n Este",Bosque de lenga abierto y con grandes manchones s¢lo con arbustos,Muy bueno,Reserva Natural Estricta,1,,2013,380,Glaciares,4,oto¤o
110,PNLG,Parque Nacional Los Glaciares,HUEMUL,25/11/2003,-4963965,-7290972,-49.63965,-72.90972,-49.63965,-72.90972,0,Ladera del Puesto Moyano,Ladera arbustiva,,,2,Huellas Bosteo,2003,18,Glaciares,11,primavera
913,PNLG,Parque Nacional Los Glaciares,HUEMUL,21/12/2012,-4961333,-7299655,-49.61333,-72.99655,-49.61333,-72.99655,560,"Ladera Sur del R¡o Mascarello, 5,3 km al Oeste de la desembocadura","Ladera de exposici¢n Norte y pendiente moderada. Bosque de lenga abierto con troncos caidos viejos; chaura, murtilla, maitencillo, orqu¡deas, Gavilea sp.","Bueno, en recuperaci¢n de incendios antiguos",Reserva Natural Estricta,0,Huellas Ramoneo,2012,374,Glaciares,12,primavera
907,PNLG,Parque Nacional Los Glaciares,HUEMUL,21/12/2012,-4960835,-7296994,-49.60835,-72.96994,-49.60835,-72.96994,500,"Ladera Sur del R¡o Mascarello, 3,3 km al Oeste de la desembocadura","Ladera con bosque abierto de lenga con arbustivas bajas y herb ces, calafate, arvejilla, Valeriana, Senecio, coirones, chaura, neneo, etc. Exposici¢n Norte, pendiente leve. Sectores rocosos.","Muy bueno, con algunos sectores incendiados",Reserva Natural Estricta,0,cueros y pelos,2012,368,Glaciares,12,primavera
745,PNLG,Parque Nacional Los Glaciares,HUEMUL,10/01/1996,-4959888,-7293981,-49.59888,-72.93981,-49.59888,-72.93981,390,"R¡o Mascarello, ambas margenes, a unos mil metros de su desembocadura en el Lago Viedma.","Matorral, muy denso cerca de la orilla del r¡o;ÿBerberis, chaura, siete camisas. Costa de r¡o y r¡o.",Muy bueno,Reserva Natural EstrictaPresencia de una tropilla de caballos baguales,1,Huellas Bosteo,1996,269,Glaciares,1,verano
2589,PNLG,Parque Nacional Los Glaciares,HUEMUL,13/04/2019,-4959736,-7292911,-49.59736,-72.92911,-49.59736,-72.92911,257.2,Reserva Natural Estricta Cord¢n del Mascarello. Campana Huemul 2019.,Sobre saliente rocosa matorral y lengas aisladas,Bueno,Investigaci¢n,1,,2019,1701,Glaciares,4,oto¤o
746,PNLG,Parque Nacional Los Glaciares,HUEMUL,11/01/1996,-4959222,-7294821,-49.59222,-72.94821,-49.59222,-72.94821,840,"Extremo Oeste del lago Viedma, a 1,2 km al Oeste de la desembocadura del R¡o Mascarello.","Ladera con matorral,ÿsiete camisas, Berberis, gram¡neas.",Muy bueno,Reserva Natural Estricta.Presencia de una tropilla de caballos baguales.,1,Huellas Bosteo Echadero,1996,270,Glaciares,1,verano
733,PNLG,Parque Nacional Los Glaciares,HUEMUL,23/04/2012,-4958527,-7295513,-49.58527,-72.95513,-49.58527,-72.95513,764,"Cord¢n Mascarello, faldeo de exposici¢n Este.",Matorral bajo con bosquetes de lenga,Bueno,Reserva Natuaral Estricta,1,,2012,260,Glaciares,4,oto¤o
747,PNLG,Parque Nacional Los Glaciares,HUEMUL,11/01/1996,-4957366,-72961,-49.57366,-72.961,-49.57366,-72.961,470,"Ladera en el extremo Oeste del Lago Viedma, zona Mascarello, a 700 m de la costa.","Ladera exposici¢n Este con lomadas;ÿmatorral, chaura, siete camisas y manchones de lenga.",Muy bueno,Reserva Natural Estricta.Presencia de una tropilla de caballos baguales,1,Huellas Bosteo,1996,271,Glaciares,1,verano
914,PNLG,Parque Nacional Los Glaciares,HUEMUL,29/10/2011,-4956203,-730576,-49.56203,-73.0576,-49.56203,-73.0576,690,"Margen Sur-SE de la Laguna Viedma, sector Mascarello","Ladera de exposici¢n Norte, sector periglaciario rocoso, con balcones. Vegetaci¢n arbustiva y bosquetes de lenga.ÿ",Muy bueno,Reserva Natural Estricta,0,Huellas Bosteo Senderos,2011,375,Glaciares,10,primavera
314,PNLG,Parque Nacional Los Glaciares,HUEMUL,27/01/2007,-4955264,-7299438,-49.55264,-72.99438,-49.55264,-72.99438,0,"Faldeo izquierdo del Glaciar Viedma, camino a Laguna del Viedma.","Arbustivo bajo, con neneo, notro, Pernettya (posiblemente pumila), Gaultheria, Senecio, le¤a dura; pendiente moderada a fuerte. Lengas aisladas, afloramientos rocosos.",,Reserva Natural Estricta.,0,Bosteo Asta ramoneo,2007,145,Glaciares,1,verano
742,PNLG,Parque Nacional Los Glaciares,HUEMUL,15/01/1992,-4955027,-7297508,-49.55027,-72.97508,-49.55027,-72.97508,520,"Ladera Sur del R¡o Gris, 600 m al SO de la desembocadura del R¡o en el Lago Viedma.","Terrazones entre la costa del lago y el filo monta¤oso, sector muy rocoso con sectores acantilados cerca de la costa. Vegetaci¢n mayormente esteparia y arbustiva, le¤a dura, mata guanaco, neneo, gram¡neas e isletas de lenga dispersas.",Muy bueno,Intangible. Turismo lacustre alÿfrente del Glaciar Viedma.,2,,1992,266,Glaciares,1,verano
779,PNLG,Parque Nacional Los Glaciares,HUEMUL,16/01/1992,-4954947,-729828,-49.54947,-72.9828,-49.54947,-72.9828,400,Ladera Sur del R¡o y Laguna Gris a 200 m del R¡o.,"Planicie tipo terraz¢n, ambiente ecotonal con bosque abierto de lenga",Muy bueno,Reserva Natural Estricta,2,,1992,302,Glaciares,1,verano
1653,PNLG,Parque Nacional Los Glaciares,HUEMUL,1/09/2016,-4953667,-7298662,-49.53667,-72.98662,-49.53667,-72.98662,490,"Ladera oeste del Lago Viedma, 1,2 km al sudeste del Glaciar Viedma","Ladera con matorral bajo y pastizal, neneo, notro. Pendiente leve. Exposici¢n S-SE",Muy bueno,RNE,0,Bosteo,2016,873,Glaciares,9,invierno
120,PNLG,Parque Nacional Los Glaciares,HUEMUL,7/04/2003,-4948675,-7300114,-49.48675,-73.00114,-49.48675,-73.00114,800,Faldeo Sudeste Cerro Huemul (Ventisquero Viedma),"Faldeo exposicion Sudeste, notro, lenga, mait‚n, chapel, siete cammisas, pastizal.",,,0,Huellas Bosteo Ramoneo,2003,27,Glaciares,4,oto¤o
2369,PNLG,Parque Nacional Los Glaciares,HUEMUL,29/12/2019,-4948588,-730143,-49.48588,-73.0143,-49.48588,-73.0143,1009,Paso Huemul,Alta Monta¤a,Bueno,Zona de uso publico,2,,2019,1482,Glaciares,12,primavera
156,PNLG,Parque Nacional Los Glaciares,HUEMUL,15/12/2003,-4948195,-7299861,-49.48195,-72.99861,-49.48195,-72.99861,0,"Faldeo Sudeste Cerro Huemul, 750 m s.n.m.",Bosque abierto de lenga,,,0,Huellas,2003,44,Glaciares,12,primavera
2054,PNLG,Parque Nacional Los Glaciares,HUEMUL,13/01/2019,-4948185,-7299872,-49.48185,-72.99872,-49.48185,-72.99872,702,Paso Huemul (cerca cuerdas fijas),Bosque abierto,Bueno,Zona de uso publico,1,,2019,1167,Glaciares,1,verano
2327,PNLG,Parque Nacional Los Glaciares,HUEMUL,11/11/2019,-4948108,-7297905,-49.48108,-72.97905,-49.48108,-72.97905,261,Bah¡a T‚mpanos 300/500 mts de la costa.,Ecotono,Bueno,Zona de uso publico,1,,2019,1440,Glaciares,11,primavera
294,PNLG,Parque Nacional Los Glaciares,HUEMUL,4/06/2009,-4948071,-7298752,-49.48071,-72.98752,-49.48071,-72.98752,350,"Ladera Este del Cerro Huemul, zona P. Ventisquero",,,Tur¡stico,0,Huellas Bosteo ramoneo,2009,125,Glaciares,6,oto¤o
2559,PNLG,Parque Nacional Los Glaciares,HUEMUL,20/05/2020,-4948067,-729934,-49.48067,-72.9934,-49.48067,-72.9934,420,B. T‚mpano,Transici¢n estepa y bosque,Bueno,ZUPE,2,,2020,1672,Glaciares,5,oto¤o
2324,PNLG,Parque Nacional Los Glaciares,HUEMUL,8/11/2019,-4948052,-7299498,-49.48052,-72.99498,-49.48052,-72.99498,0,Bajando Paso Huemul,Ecotono,Bueno,Zona de uso publico,1,,2019,1437,Glaciares,11,primavera
157,PNLG,Parque Nacional Los Glaciares,HUEMUL,15/12/2003,-4948034,-7300363,-49.48034,-73.00363,-49.48034,-73.00363,0,"Faldeo Sudeste Cerro Huemul, 1.030 m s.n.m.","Bosque abierto de lenga, pendiente muy pronunciada",,,0,Huellas,2003,45,Glaciares,12,primavera
1647,PNLG,Parque Nacional Los Glaciares,HUEMUL,21/11/2016,-4948028,-7298676,-49.48028,-72.98676,-49.48028,-72.98676,260,Sector costero de Bah¡a T‚mpanos,"Costa de lago, piedras grandes y medianas. Alrededor con pastizal de coir¢n, neneo, clafate. Pendiente leve, exposici¢n Este.",Bueno a muy bueno,"Turismo, sendero. Presencia de ganado vacuno y equino que traspasa la zona de pastoreo ubicada m s al norte.",0,Cad ver (Sin determinar),2016,871,Glaciares,11,primavera
529,PNLG,Parque Nacional Los Glaciares,HUEMUL,21/10/2010,-4948013,-7298543,-49.48013,-72.98543,-49.48013,-72.98543,270,"Costa del Lago Viedma, Bah¡a T‚mpanos. Morena glaciaria con vegetaci¢n arbustiva. Pendiente leve.","Pastizal, arbustos dispersos, calafate, paramela, neneo, Pernettya, gram¡neas, etc.;ÿlengas jovenes aisladas. Pendiente baja, sector costero.",Bueno,"Turismo, sendero al cerro Huemul, excursi¢n lacustre. Presencia de ganado que se dispersa hacia el Sur desde la zona del R¡o T£nel.",2,,2010,215,Glaciares,10,primavera
1606,PNLG,Parque Nacional Los Glaciares,HUEMUL,25/03/2016,-4947938,-7299524,-49.47938,-72.99524,-49.47938,-72.99524,500,"Ladera noroeste de Bah¡a T‚mpanos, a unos 550 m de la costa del Lago Viedma. Descendi¢ hasta cerca de los 200 m de la costa.","Ladera con pastizal (coir¢n, neneo) y bosques de lenga. Sector rocoso con pendiente moderada. Exposici¢n Este-NE",Bueno a muy bueno,"Turismo, sendero. Ingreso espor dico de ganado",1,,2016,830,Glaciares,3,verano
2498,PNLG,Parque Nacional Los Glaciares,HUEMUL,21/02/2020,-4947895,-7298812,-49.47895,-72.98812,-49.47895,-72.98812,306,"Vuelta al Huemul, Bah¡a T‚mpanos",Bosque abierto de lengas y ¤ires,Bueno,ZUPE,2,,2020,1611,Glaciares,2,verano
2503,PNLG,Parque Nacional Los Glaciares,HUEMUL,24/02/2020,-4947895,-7298812,-49.47895,-72.98812,-49.47895,-72.98812,306,Bah¡a T‚mpanos,Bosque abierto lenga y ¤ire,Bueno,ZUPE,2,,2020,1616,Glaciares,2,verano
1915,PNLG,Parque Nacional Los Glaciares,HUEMUL,22/12/2017,-4947841,-7299166,-49.47841,-72.99166,-49.47841,-72.99166,380,"Ladera noroeste de Bah¡a T‚mpanos, 2 km al Este-NE del Paso Huemul","Ladera con pastizal y neneo, chaura, siete camisas, notro, y ejemplares aislados de lenga. Roquedales aterrazados. Pendiente moderada. Suelo rocoso",Bueno a muy bueno,"Turismo, sendero. Ingreso de ganado",2,,2017,1097,Glaciares,12,primavera
2079,PNLG,Parque Nacional Los Glaciares,HUEMUL,29/01/2019,-4947818,-729852,-49.47818,-72.9852,-49.47818,-72.9852,297,Bah¡a T‚mpanos,Estepa - pastizal,Bueno,Zona de uso publico,1,,2019,1192,Glaciares,1,verano
297,PNLG,Parque Nacional Los Glaciares,HUEMUL,5/06/2009,-4947805,-7297026,-49.47805,-72.97026,-49.47805,-72.97026,285,"Ladera Este del Cerro Huemul, zona P. ventisquero","arbustivo, chapel, codocoipu, y bosque bajo disperso de lenga",,"Tur¡stico, ganadero",0,Huellas Bosteo,2009,128,Glaciares,6,oto¤o
159,PNLG,Parque Nacional Los Glaciares,HUEMUL,5/08/2004,-4947786,-7297846,-49.47786,-72.97846,-49.47786,-72.97846,0,"Faldeo Sudeste Cerro Huemul, a 200 m del puesto - 260 m s.n.m. (nivel del lago Viedma)",Bosque bajo y abierto de lenga,,,0,Huellas,2004,46,Glaciares,8,invierno
278,PNLG,Parque Nacional Los Glaciares,HUEMUL,21/02/2009,-4947784,-7296276,-49.47784,-72.96276,-49.47784,-72.96276,275,Pen¡nsula del Ventisquero,Morrena con pastizal de coiron y bosquecitos de lenga; nieve en parches,regular por pastoreo,Tur¡stico y presencia de vacunos y caballos,1,,2009,114,Glaciares,2,verano
155,PNLG,Parque Nacional Los Glaciares,HUEMUL,15/12/2003,-4947778,-7299444,-49.47778,-72.99444,-49.47778,-72.99444,500,Faldeo Sudeste Cerro Huemul,"Pendiente muy pronunciada, bosque abierto de lenga",Bueno,"Turismo, sendero. Ganader¡a, vacunos, equinos",0,Huellas Bosteo,2003,43,Glaciares,12,primavera
